seg_0,R2,MAE,RMSE,n
MARCA A,0.8966838788437511,4051.168540394974,4844.796478007847,28
MARCA C,0.8185748837521976,5427.6911187049345,6831.138514211028,20
MARCA E,0.6970433768977606,5543.5641850639995,6430.798736457358,10
MARCA B,0.6751792556628756,6920.975280246398,8636.591880917269,18
MARCA D,0.6431990409610373,7352.554334732203,9015.283715418838,14
MARCA F,0.1260117309374702,6845.429302364216,9804.932133448876,10
